team,date,fumbles_forced,interceptions,pass_yards_allowed,rush_yards_allowed,sacks,points_allowed
CAR,11/21/10,2,0,301,100,3,37
CAR,11/28/10,1,2,245,152,2,24
CAR,12/5/10,0,2,229,161,3,31
CAR,12/12/10,0,1,227,127,3,31
CAR,12/19/10,1,1,196,43,3,12
CAR,12/23/10,2,0,320,115,3,27
CAR,1/2/10,1,0,256,99,1,31
GNB,9/8/11,1,0,419,81,3,34
GNB,9/18/11,1,3,432,71,4,23
GNB,9/25/11,0,2,302,13,3,17
GNB,10/2/11,1,3,273,119,1,23
GNB,10/9/11,0,2,167,95,1,14
GNB,10/16/11,0,1,328,118,3,3
GNB,10/23/11,0,2,219,218,2,27
GNB,11/6/11,0,3,385,85,2,38
GNB,11/14/11,0,1,190,104,3,7
GNB,11/20/11,0,2,342,121,2,26
GNB,11/24/11,0,3,276,136,1,15
GNB,12/4/11,1,1,347,100,1,35
GNB,12/11/11,1,4,247,117,1,16
GNB,12/18/11,0,0,299,139,0,19
GNB,12/25/11,0,2,242,199,0,21
GNB,1/1/11,2,2,520,73,2,41
GNB,1/15/11,0,1,330,95,1,37
NOR,9/8/11,0,0,312,103,2,42
NOR,9/18/11,1,0,244,60,6,13
NOR,9/25/11,0,1,373,109,2,33
NOR,10/2/11,0,1,196,104,3,10
NOR,10/9/11,0,1,224,162,1,27
NOR,10/16/11,0,0,303,117,0,26
NOR,10/23/11,2,1,102,155,1,7
NOR,10/30/11,1,0,175,183,4,31
NOR,11/6/11,0,0,281,84,1,16
NOR,11/13/11,0,1,351,138,1,23
NOR,11/28/11,1,1,406,73,1,24
NOR,12/4/11,0,1,408,87,3,17
NOR,12/11/11,0,0,326,59,2,17
NOR,12/18/11,0,1,120,105,4,20
NOR,12/26/11,1,0,434,35,0,16
NOR,1/1/11,1,1,158,164,2,17
NOR,1/7/11,0,2,380,32,0,28
NOR,1/14/11,1,0,299,143,4,36
NWE,9/12/11,0,1,416,98,4,24
NWE,9/18/11,2,2,378,98,2,21
NWE,9/25/11,0,2,369,79,0,34
NWE,10/2/11,0,2,344,160,0,19
NWE,10/9/11,0,0,166,97,2,21
NWE,10/16/11,1,1,317,77,2,16
NWE,10/30/11,0,1,365,98,5,25
NWE,11/6/11,1,1,250,111,0,24
NWE,11/13/11,1,2,306,110,5,16
NWE,11/21/11,0,3,230,125,3,3
NWE,11/27/11,0,1,400,73,2,20
NWE,12/4/11,1,1,353,99,2,24
NWE,12/11/11,1,1,301,170,2,27
NWE,12/18/11,3,0,194,252,4,23
NWE,12/24/11,1,1,281,121,5,24
NWE,1/1/11,0,4,307,106,2,21
NWE,1/14/11,1,0,136,144,5,10
NWE,1/22/11,0,1,306,116,3,20
NWE,2/5/11,0,1,276,83,2,17
DET,9/11/11,1,1,266,56,2,20
DET,9/18/11,3,3,133,151,2,3
DET,9/25/11,0,0,211,132,4,23
