Rk,G#,Date,Tm,,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,FantPt,DKPt,FDPt
16,16,1/3/16,NWE,@,MIA,L 10-20,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.3,5.3
1,5,10/9/16,NWE,@,CLE,W 33-13,QB,3,4,12,2,0,0,0,3,4,12,2,0,0,0,29.64,32.6,29.6
2,6,10/16/16,NWE,,CIN,W 35-17,QB,5,7,39,3,1,0,0,2,3,8,2,1,0,0,27.24,30.2,27.2
3,7,10/23/16,NWE,@,PIT,W 27-16,QB,1,1,19,1,0,0,0,0,0,0,0,0,0,0,18.18,18.2,18.2
4,8,10/30/16,NWE,@,BUF,W 41-25,QB,6,6,34,2,0,0,0,3,3,10,1,0,0,0,30.1,33.1,30.1
5,9,11/13/16,NWE,,SEA,L 24-31,QB,1,2,14,0,3,3,0,0,1,0,0,3,3,0,11.34,15.3,12.3
6,10,11/20/16,NWE,@,SFO,W 30-17,QB,5,7,21,3,2,6,0,3,3,18,3,1,-1,0,28.4,28.4,28.4
7,11,11/27/16,NWE,@,NYJ,W 22-17,QB,2,6,11,2,3,-4,0,2,4,11,2,3,-4,0,19.04,19,19
8,12,12/4/16,NWE,,LAR,W 26-10,QB,3,4,20,1,1,3,0,0,1,0,0,0,0,0,14.86,14.9,14.9
9,13,12/12/16,NWE,,BAL,W 30-23,QB,6,9,38,2,0,0,0,3,5,10,1,0,0,0,26.14,30.1,27.1
10,14,12/18/16,NWE,@,DEN,W 16-3,QB,2,3,27,0,0,0,0,0,1,0,0,0,0,0,7.42,7.4,7.4
11,15,12/24/16,NWE,,NYJ,W 41-3,QB,4,7,28,2,0,0,0,2,4,5,1,0,0,0,20.56,20.6,20.6
12,16,1/1/17,NWE,@,MIA,W 35-14,QB,5,6,24,2,0,0,0,2,3,2,1,0,0,0,25.64,25.6,25.6
1,1,9/7/17,NWE,,KAN,L 27-42,QB,1,4,5,0,1,1,0,0,1,0,0,1,1,0,10.68,10.7,10.7
2,2,9/17/17,NWE,@,NOR,W 36-20,QB,5,8,46,2,1,7,0,0,0,0,0,0,0,0,30.78,33.8,30.8
3,3,9/24/17,NWE,,HOU,W 36-33,QB,2,4,12,2,0,0,0,2,4,12,2,0,0,0,35.72,39.7,35.7
4,4,10/1/17,NWE,,CAR,L 30-33,QB,5,9,20,2,0,0,0,2,4,3,2,0,0,0,20.48,23.5,20.5
5,5,10/5/17,NWE,@,TAM,W 19-14,QB,4,5,24,1,1,1,0,2,3,7,1,1,1,0,12.62,17.6,13.6
6,6,10/15/17,NWE,@,NYJ,W 24-17,QB,2,4,7,1,0,0,0,1,2,2,1,0,0,0,16.18,17.2,17.2
7,7,10/22/17,NWE,,ATL,W 23-7,QB,3,4,14,2,3,-3,0,1,2,2,1,0,0,0,18.46,18.5,18.5
8,8,10/29/17,NWE,,LAC,W 21-13,QB,3,6,13,1,1,2,0,2,3,7,1,0,0,0,17.52,20.5,17.5
9,9,11/12/17,NWE,@,DEN,W 41-16,QB,5,9,43,3,0,0,0,1,3,6,1,0,0,0,22.64,22.6,22.6
10,10,11/19/17,NWE,@,OAK,W 33-8,QB,5,7,33,2,0,0,0,2,2,5,1,0,0,0,25.6,28.6,25.6
11,11,11/26/17,NWE,,MIA,W 35-17,QB,4,4,26,4,0,0,0,3,3,11,3,0,0,0,20.68,22.7,21.7
